1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
CBO Ocupação;;;;;;;;;;;;;;;;;;;;;;;;
Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária;Faixa Etária
Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM);Faixa Remun Dezem (SM)
Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM);Faixa Remun Média (SM)
Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;Grau Instrução 2005-1985;;;;;;;;;;;;
IBGE Subatividade;;;;;;;;;;;;;;;;;;;;;;;;
IBGE Subsetor;;;;;;;;;;;;;;;;;;;;;;IBGE Subsetor;IBGE Subsetor;IBGE Subsetor
Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município;Município
Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade;Nacionalidade
Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador;Sexo Trabalhador
Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento;Tamanho Estabelecimento
Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab;Tipo Estab
Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1;Tipo Estab.1
