CBO Ocupação 2002;potec
1;Demais Ocupações
10105;Demais Ocupações
10110;Demais Ocupações
10115;Demais Ocupações
10205;Demais Ocupações
10210;Demais Ocupações
10215;Demais Ocupações
10305;Demais Ocupações
10310;Demais Ocupações
10315;Demais Ocupações
20105;Demais Ocupações
20110;Demais Ocupações
20115;Demais Ocupações
20205;Demais Ocupações
20305;Demais Ocupações
20310;Demais Ocupações
21105;Demais Ocupações
21110;Demais Ocupações
21205;Demais Ocupações
21210;Demais Ocupações
30105;Demais Ocupações
30110;Demais Ocupações
30115;Demais Ocupações
30205;Demais Ocupações
30305;Demais Ocupações
31105;Demais Ocupações
31110;Demais Ocupações
31205;Demais Ocupações
31210;Demais Ocupações
111105;Demais Ocupações
111110;Demais Ocupações
111115;Demais Ocupações
111120;Demais Ocupações
111205;Demais Ocupações
111210;Demais Ocupações
111215;Demais Ocupações
111220;Demais Ocupações
111225;Demais Ocupações
111230;Demais Ocupações
111235;Demais Ocupações
111240;Demais Ocupações
111245;Demais Ocupações
111250;Demais Ocupações
111255;Demais Ocupações
111305;Demais Ocupações
111310;Demais Ocupações
111315;Demais Ocupações
111320;Demais Ocupações
111325;Demais Ocupações
111330;Demais Ocupações
111335;Demais Ocupações
111340;Demais Ocupações
111345;Demais Ocupações
111405;Demais Ocupações
111410;Demais Ocupações
111415;Demais Ocupações
111505;Demais Ocupações
111510;Demais Ocupações
113005;Demais Ocupações
113010;Demais Ocupações
113015;Demais Ocupações
114105;Demais Ocupações
114205;Demais Ocupações
114210;Demais Ocupações
114305;Demais Ocupações
114405;Demais Ocupações
121005;Demais Ocupações
121010;Demais Ocupações
122105;Demais Ocupações
122110;Demais Ocupações
122115;Demais Ocupações
122120;Demais Ocupações
122205;Demais Ocupações
122305;Demais Ocupações
122405;Demais Ocupações
122505;Demais Ocupações
122510;Demais Ocupações
122515;Demais Ocupações
122520;Demais Ocupações
122605;Demais Ocupações
122610;Demais Ocupações
122615;Demais Ocupações
122620;Demais Ocupações
122705;Demais Ocupações
122710;Demais Ocupações
122715;Demais Ocupações
122720;Demais Ocupações
122725;Demais Ocupações
122730;Demais Ocupações
122735;Demais Ocupações
122740;Demais Ocupações
122745;Demais Ocupações
122750;Demais Ocupações
122755;Demais Ocupações
123105;Demais Ocupações
123110;Demais Ocupações
123115;Demais Ocupações
123205;Demais Ocupações
123210;Demais Ocupações
123305;Demais Ocupações
123310;Demais Ocupações
123405;Demais Ocupações
123410;Demais Ocupações
123605;Demais Ocupações
123705;Diretores e Gerentes de P&D
123805;Demais Ocupações
131105;Demais Ocupações
131110;Demais Ocupações
131115;Demais Ocupações
131120;Demais Ocupações
