CBO Ocupação 2002;titulo;POTECoriginal;potec;Potec Grupo
1;;Demais Ocupações;Demais Ocupações;Demais Ocupações
0000-1;;Demais Ocupações;Demais Ocupações;Demais Ocupações
010105;Oficial general da aeronáutica;Demais Ocupações;Demais Ocupações;Demais Ocupações
010110;Oficial general do exército;Demais Ocupações;Demais Ocupações;Demais Ocupações
010115;Oficial general da marinha;Demais Ocupações;Demais Ocupações;Demais Ocupações
010215;Oficial da marinha;Demais Ocupações;Demais Ocupações;Demais Ocupações
010210;Oficial do exército;Demais Ocupações;Demais Ocupações;Demais Ocupações
010205;Oficial da aeronáutica;Demais Ocupações;Demais Ocupações;Demais Ocupações
010310;Praça do exército;Demais Ocupações;Demais Ocupações;Demais Ocupações
010315;Praça da marinha;Demais Ocupações;Demais Ocupações;Demais Ocupações
010305;Praça da aeronáutica;Demais Ocupações;Demais Ocupações;Demais Ocupações
020115;Major da polícia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
020105;Coronel da polícia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
020110;Tenente-coronel da polícia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
020205;Capitão da polícia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
020305;Primeiro tenente de polícia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
020310;Segundo tenente de polícia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
021105;Subtenente da policia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
021110;Sargento da policia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
021205;Cabo da polícia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
021210;Soldado da polícia militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
030115;Tenente-coronel bombeiro militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
030105;Coronel bombeiro militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
030110;Major bombeiro militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
