CBO 94 Ocupação;CBO 02;nomenclatura;POTECoriginal;potec;Potec Grupo
000-1;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
01105;213210;Químico industrial, em geral (exceto química agrícola);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01110;213205;Químico, em geral;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01125;213205;Químico (tratamento de água);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01145;213210;Químico (petróleo);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01150;213205;Químico analista;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01155;213205;Químico agrícola;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01190;213205;Outros químicos;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01210;213105;Físico, em geral;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01215;213150;Físico (medicina);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01220;213105;Físico (mecânica);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01230;213175;Físico (térmica);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01235;213105;Físico-químico;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01240;213160;Físico (óptica);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01250;213110;Físico (acústica);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01260;213105;Físico (eletricidade e magnetismo);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01270;213105;Físico (eletrônica);Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01280;213155;Físico nuclear;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01290;213105;Outros físicos;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01920;213415;Geofísico;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01930;213315;Meteorologista;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01940;213305;Astrônomo;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
01950;203215;Pesquisador de telecomunicações;Pesquisadores;Pesquisadores;Pesquisadores
01990;213120;Outros  químicos,  físicos e trabalhadores assemelhados não-classificados sob outras epígrafes;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
02020;222110;Engenheiro agrônomo;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros
02040;222120;Engenheiro florestal;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros
02060;222115;Engenheiro de pesca;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros
02090;222110;Outros engenheiros agrônomos, florestais e de pesca;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros
02110;214205;Engenheiro civil, em geral;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02115;214215;Engenheiro civil (edificações);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02125;214255;Engenheiro civil (construção de rodovias);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02135;214210;Engenheiro civil (construção de aeroportos);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02145;214225;Engenheiro civil (construção de ferrovias);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02150;214245;Engenheiro civil (construção de pontes e viadutos);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02155;214265;Engenheiro civil (construção de túneis);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02160;214230;Engenheiro civil (mecânica de solos);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02165;214260;Engenheiro civil (obras sanitárias);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02170;214240;Engenheiro civil (hidráulica);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02175;214105;Arquiteto;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02180;214125;Urbanista;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02185;214120;Arquiteto paisagista;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02190;141305;Outros engenheiros civis e arquitetos;Demais Ocupações;Demais Ocupações;Demais Ocupações
02220;214405;Engenheiro de operação (mecânica);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02230;214305;Engenheiro de operação (eletrotécnica);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02240;214365;Engenheiro de operação (eletrônica);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02250;214610;Engenheiro de operação (metalurgia);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02260;214510;Engenheiro de operação (têxtil);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02270;262410;Desenhista industrial (designer);Demais Ocupações;Demais Ocupações;Demais Ocupações
02290;214505;Outros engenheiros de operação e desenhistas industriais;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02305;214305;Engenheiro eletricista, em geral;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02310;214310;Engenheiro eletrônico, em geral;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02320;214305;Engenheiro eletricista (produção de energia);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02330;214305;Engenheiro eletricista (distribuição de energia);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02335;214325;Engenheiro  de manutenção  (eletricidade e eletrônica);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02340;214340;Engenheiro de telecomunicações;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02350;214310;Engenheiro eletrônico (vídeo e áudio);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02385;214365;Tecnólogo em eletricidade e eletrônica;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02390;214305;Outros engenheiros eletricistas e engenheiros eletrônicos;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02410;214405;Engenheiro mecânico, em geral;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02415;214405;Engenheiro mecânico (manutenção);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02420;214405;Engenheiro mecânico (máquinas e ferramentas);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02430;214405;Engenheiro  mecânico  (motores, exceto de embarcações);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02440;214405;Engenheiro mecânico (motores de embarcações);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02445;214405;Engenheiro mecânico (motores diesel);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02450;214430;Engenheiro naval;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02460;214425;Engenheiro aeronáutico;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02465;214405;Engenheiro mecânico (armamento);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02470;214410;Engenheiro mecânico (veículos automotores);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02480;214405;Engenheiro  mecânico  (calefação, ventilação e refrigeração);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02483;214610;Tecnólogo em soldagem;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02485;214415;Engenheiro mecânico (energia nuclear);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02490;214405;Outros engenheiros mecânicos;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02510;214505;Engenheiro químico, em geral;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02520;214525;Engenheiro químico (petróleo);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02530;214520;Engenheiro químico (celulose, papel e papelão);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02540;214525;Engenheiro químico (borracha);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02550;214505;Engennheiro químico (plástico);Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
02590;214505;Outros engenherios químicos;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
