cod_cnae_grupo;CNAE_grupo;knowledge_services;technology_industries
011;Produção de lavouras temporárias;Without Classification;Without Classification
012;Horticultura e floricultura;Without Classification;Without Classification
013;Produção de lavouras permanentes;Without Classification;Without Classification
014;Produção de sementes e mudas certificadas;Without Classification;Without Classification
015;Pecuária;Without Classification;Without Classification
016;"Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita";Without Classification;Without Classification
017;Caça e serviços relacionados;Without Classification;Without Classification
021;Produção florestal - florestas plantadas;Without Classification;Without Classification
022;Produção florestal - florestas nativas;Without Classification;Without Classification
023;Atividades de apoio à produção florestal;Without Classification;Without Classification
031;Pesca;Without Classification;Without Classification
032;Aqüicultura;Without Classification;Without Classification
050;Extração de carvão mineral;Without Classification;Without Classification
060;Extração de petróleo e gás natural;Without Classification;Without Classification
071;Extração de minério de ferro;Without Classification;Without Classification
072;Extração de minerais metálicos não-ferrosos;Without Classification;Without Classification
081;Extração de pedra, areia e argila;Without Classification;Without Classification
089;Extração de outros minerais não-metálicos;Without Classification;Without Classification
091;Atividades de apoio à extração de petróleo e gás natural;Without Classification;Without Classification
099;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;Without Classification;Without Classification
101;Abate e fabricação de produtos de carne;Without Classification;Low-technology
102;Preservação do pescado e fabricação de produtos do pescado;Without Classification;Low-technology
103;Fabricação de conservas de frutas, legumes e outros vegetais;Without Classification;Low-technology
104;Fabricação de óleos e gorduras vegetais e animais;Without Classification;Low-technology
105;Laticínios;Without Classification;Low-technology
106;Moagem, fabricação de produtos amiláceos e de alimentos para animais;Without Classification;Low-technology
107;Fabricação e refino de açúcar;Without Classification;Low-technology
108;Torrefação e moagem de café;Without Classification;Low-technology
109;Fabricação de outros produtos alimentícios;Without Classification;Low-technology
111;Fabricação de bebidas alcoólicas;Without Classification;Low-technology
112;Fabricação de bebidas não-alcoólicas;Without Classification;Low-technology
121;Processamento industrial do fumo;Without Classification;Low-technology
122;Fabricação de produtos do fumo;Without Classification;Low-technology
131;Preparação e fiação de fibras têxteis;Without Classification;Low-technology
