,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP,Bairros SP
1,CBO Ocupação,,,,,,,,,,,,,,,,,,,,,,,,
2,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP,Distritos SP
3,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária,Faixa Etária
4,Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM),Faixa Remun Dezem (SM)
5,Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM),Faixa Remun Média (SM)
6,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego,Faixa Tempo Emprego
7,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,Grau Instrução 2005-1985,,,,,,,,,,,,
8,IBGE Subatividade,,,,,,,,,,,,,,,,,,,,,,,,
9,IBGE Subsetor,,,,,,,,,,,,,,,,,,,,,,IBGE Subsetor,IBGE Subsetor,IBGE Subsetor
10,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento,Motivo Desligamento
11,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município,Município
12,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão,Mês Admissão
13,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento,Mês Desligamento
14,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade,Nacionalidade
15,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador
16,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento
17,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego
18,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab
19,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1
