UF;Nome_UF;Região Geográfica Intermediária;Nome Região Geográfica Intermediária;Região Geográfica Imediata;Nome Região Geográfica Imediata;Mesorregião Geográfica;Nome_Mesorregião;Microrregião Geográfica;Nome_Microrregião;Município;Código Município Completo;Nome_Município;codmun_rais
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;02;Leste Rondoniense;006;Cacoal;00015;1100015;Alta Floresta D'Oeste;110001
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;02;Leste Rondoniense;006;Cacoal;00379;1100379;Alto Alegre dos Parecis;110037
11;Rondônia;1101;Porto Velho;110002;Ariquemes;02;Leste Rondoniense;003;Ariquemes;00403;1100403;Alto Paraíso;110040
11;Rondônia;1102;Ji-Paraná;110004;Ji-Paraná;02;Leste Rondoniense;005;Alvorada D'Oeste;00346;1100346;Alvorada D'Oeste;110034
11;Rondônia;1101;Porto Velho;110002;Ariquemes;02;Leste Rondoniense;003;Ariquemes;00023;1100023;Ariquemes;110002
11;Rondônia;1101;Porto Velho;110002;Ariquemes;01;Madeira-Guaporé;001;Porto Velho;00452;1100452;Buritis;110045
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;02;Leste Rondoniense;008;Colorado do Oeste;00031;1100031;Cabixi;110003
11;Rondônia;1101;Porto Velho;110002;Ariquemes;02;Leste Rondoniense;003;Ariquemes;00601;1100601;Cacaulândia;110060
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;02;Leste Rondoniense;006;Cacoal;00049;1100049;Cacoal;110004
11;Rondônia;1101;Porto Velho;110002;Ariquemes;01;Madeira-Guaporé;001;Porto Velho;00700;1100700;Campo Novo de Rondônia;110070
11;Rondônia;1101;Porto Velho;110001;Porto Velho;01;Madeira-Guaporé;001;Porto Velho;00809;1100809;Candeias do Jamari;110080
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;02;Leste Rondoniense;006;Cacoal;00908;1100908;Castanheiras;110090
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;02;Leste Rondoniense;008;Colorado do Oeste;00056;1100056;Cerejeiras;110005
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;02;Leste Rondoniense;007;Vilhena;00924;1100924;Chupinguaia;110092
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;02;Leste Rondoniense;008;Colorado do Oeste;00064;1100064;Colorado do Oeste;110006
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;02;Leste Rondoniense;008;Colorado do Oeste;00072;1100072;Corumbiara;110007
11;Rondônia;1102;Ji-Paraná;110004;Ji-Paraná;01;Madeira-Guaporé;002;Guajará-Mirim;00080;1100080;Costa Marques;110008
11;Rondônia;1101;Porto Velho;110002;Ariquemes;01;Madeira-Guaporé;001;Porto Velho;00940;1100940;Cujubim;110094
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;02;Leste Rondoniense;006;Cacoal;00098;1100098;Espigão D'Oeste;110009
11;Rondônia;1101;Porto Velho;110003;Jaru;02;Leste Rondoniense;004;Ji-Paraná;01005;1101005;Governador Jorge Teixeira;110100
11;Rondônia;1101;Porto Velho;110001;Porto Velho;01;Madeira-Guaporé;002;Guajará-Mirim;00106;1100106;Guajará-Mirim;110010
11;Rondônia;1101;Porto Velho;110001;Porto Velho;01;Madeira-Guaporé;001;Porto Velho;01104;1101104;Itapuã do Oeste;110110
11;Rondônia;1101;Porto Velho;110003;Jaru;02;Leste Rondoniense;004;Ji-Paraná;00114;1100114;Jaru;110011
11;Rondônia;1102;Ji-Paraná;110004;Ji-Paraná;02;Leste Rondoniense;004;Ji-Paraná;00122;1100122;Ji-Paraná;110012
