Município;territorio_tese
260005;Espaço Metropolitano de Recife
260010;Restante de Pernambuco
260020;Restante de Pernambuco
260030;Restante de Pernambuco
260040;Restante de Pernambuco
260050;Restante de Pernambuco
260060;Restante de Pernambuco
260070;Restante de Pernambuco
260080;Restante de Pernambuco
260090;Restante de Pernambuco
260100;Restante de Pernambuco
260105;Espaço Metropolitano de Recife
260110;Restante de Pernambuco
260120;Restante de Pernambuco
260130;Restante de Pernambuco
260140;Restante de Pernambuco
260150;Restante de Pernambuco
260160;Restante de Pernambuco
260170;Restante de Pernambuco
260180;Restante de Pernambuco
260190;Restante de Pernambuco
260200;Restante de Pernambuco
260210;Restante de Pernambuco
260220;Restante de Pernambuco
260230;Restante de Pernambuco
260240;Restante de Pernambuco
260250;Restante de Pernambuco
260260;Restante de Pernambuco
260270;Restante de Pernambuco
260280;Restante de Pernambuco
260290;Espaço Metropolitano de Recife
260300;Restante de Pernambuco
260310;Restante de Pernambuco
260320;Restante de Pernambuco
260330;Restante de Pernambuco
260340;Restante de Pernambuco
260345;Espaço Metropolitano de Recife
260350;Restante de Pernambuco
260360;Restante de Pernambuco
260370;Restante de Pernambuco
260380;Restante de Pernambuco
260390;Restante de Pernambuco
260392;Restante de Pernambuco
260400;Restante de Pernambuco
260410;Restante de Pernambuco
260415;Restante de Pernambuco
260420;Restante de Pernambuco
260430;Restante de Pernambuco
260440;Restante de Pernambuco
260450;Restante de Pernambuco
260460;Restante de Pernambuco
260470;Restante de Pernambuco
260480;Restante de Pernambuco
260490;Restante de Pernambuco
260500;Restante de Pernambuco
260510;Restante de Pernambuco
260515;Restante de Pernambuco
260520;Restante de Pernambuco
260530;Restante de Pernambuco
260540;Restante de Pernambuco
260545;Restante de Pernambuco
260550;Restante de Pernambuco
260560;Restante de Pernambuco
260570;Restante de Pernambuco
260580;Restante de Pernambuco
260590;Restante de Pernambuco
260600;Restante de Pernambuco
260610;Restante de Pernambuco
260620;Restante de Pernambuco
260630;Restante de Pernambuco
260640;Restante de Pernambuco
260650;Restante de Pernambuco
260660;Restante de Pernambuco
260670;Restante de Pernambuco
260680;Espaço Metropolitano de Recife
260690;Restante de Pernambuco
260760;Restante de Pernambuco
260700;Restante de Pernambuco
260710;Restante de Pernambuco
260720;Espaço Metropolitano de Recife
260730;Restante de Pernambuco
260740;Restante de Pernambuco
260750;Restante de Pernambuco
260765;Restante de Pernambuco
260770;Restante de Pernambuco
260775;Espaço Metropolitano de Recife
260780;Restante de Pernambuco
260790;Espaço Metropolitano de Recife
260795;Restante de Pernambuco
260800;Restante de Pernambuco
260805;Restante de Pernambuco
260810;Restante de Pernambuco
260820;Restante de Pernambuco
260825;Restante de Pernambuco
260830;Restante de Pernambuco
260840;Restante de Pernambuco
260850;Restante de Pernambuco
260845;Restante de Pernambuco
260860;Restante de Pernambuco
260870;Restante de Pernambuco
260875;Restante de Pernambuco
260880;Restante de Pernambuco
