Cod Município;Território
1100015;Demais Municípios de Rondônia
1100023;Demais Municípios de Rondônia
1100031;Demais Municípios de Rondônia
1100049;Demais Municípios de Rondônia
1100056;Demais Municípios de Rondônia
1100064;Demais Municípios de Rondônia
1100072;Demais Municípios de Rondônia
1100080;Demais Municípios de Rondônia
1100098;Demais Municípios de Rondônia
1100106;Demais Municípios de Rondônia
1100114;Demais Municípios de Rondônia
1100122;Demais Municípios de Rondônia
1100130;Demais Municípios de Rondônia
1100148;Demais Municípios de Rondônia
1100155;Demais Municípios de Rondônia
1100189;Demais Municípios de Rondônia
1100205;RM de Porto Velho
1100254;Demais Municípios de Rondônia
1100262;Demais Municípios de Rondônia
1100288;Demais Municípios de Rondônia
1100296;Demais Municípios de Rondônia
1100304;Demais Municípios de Rondônia
1100320;Demais Municípios de Rondônia
1100338;Demais Municípios de Rondônia
1100346;Demais Municípios de Rondônia
1100379;Demais Municípios de Rondônia
1100403;Demais Municípios de Rondônia
1100452;Demais Municípios de Rondônia
1100502;Demais Municípios de Rondônia
1100601;Demais Municípios de Rondônia
1100700;Demais Municípios de Rondônia
1100809;RM de Porto Velho
1100908;Demais Municípios de Rondônia
1100924;Demais Municípios de Rondônia
1100940;Demais Municípios de Rondônia
1101005;Demais Municípios de Rondônia
1101104;Demais Municípios de Rondônia
1101203;Demais Municípios de Rondônia
1101302;Demais Municípios de Rondônia
1101401;Demais Municípios de Rondônia
1101435;Demais Municípios de Rondônia
1101450;Demais Municípios de Rondônia
1101468;Demais Municípios de Rondônia
1101476;Demais Municípios de Rondônia
1101484;Demais Municípios de Rondônia
1101492;Demais Municípios de Rondônia
1101500;Demais Municípios de Rondônia
1101559;Demais Municípios de Rondônia
1101609;Demais Municípios de Rondônia
1101708;Demais Municípios de Rondônia
1101757;Demais Municípios de Rondônia
1101807;Demais Municípios de Rondônia
1200013;Demais Municípios do Acre
1200054;Demais Municípios do Acre
1200104;Demais Municípios do Acre
1200138;Demais Municípios do Acre
1200179;Demais Municípios do Acre
1200203;Demais Municípios do Acre
1200252;Demais Municípios do Acre
1200302;Demais Municípios do Acre
1200328;Demais Municípios do Acre
1200336;Demais Municípios do Acre
1200344;Demais Municípios do Acre
1200351;Demais Municípios do Acre
1200385;Demais Municípios do Acre
1200393;Demais Municípios do Acre
1200401;Demais Municípios do Acre
1200427;Demais Municípios do Acre
1200435;Demais Municípios do Acre
1200450;Demais Municípios do Acre
1200500;Demais Municípios do Acre
1200609;Demais Municípios do Acre
1200708;Demais Municípios do Acre
1200807;Demais Municípios do Acre
1300029;Demais Municípios do Amazonas
1300060;Demais Municípios do Amazonas
1300086;Demais Municípios do Amazonas
1300102;Demais Municípios do Amazonas
1300144;Demais Municípios do Amazonas
1300201;Demais Municípios do Amazonas
1300300;RM de Manaus
1300409;Demais Municípios do Amazonas
1300508;Demais Municípios do Amazonas
1300607;Demais Municípios do Amazonas
1300631;Demais Municípios do Amazonas
1300680;Demais Municípios do Amazonas
1300706;Demais Municípios do Amazonas
1300805;Demais Municípios do Amazonas
1300839;Demais Municípios do Amazonas
1300904;Demais Municípios do Amazonas
1301001;Demais Municípios do Amazonas
1301100;RM de Manaus
1301159;RM de Manaus
1301209;Demais Municípios do Amazonas
1301308;Demais Municípios do Amazonas
1301407;Demais Municípios do Amazonas
1301506;Demais Municípios do Amazonas
1301605;Demais Municípios do Amazonas
1301654;Demais Municípios do Amazonas
1301704;Demais Municípios do Amazonas
1301803;Demais Municípios do Amazonas
1301852;RM de Manaus
1301902;RM de Manaus
1301951;Demais Municípios do Amazonas
1302009;RM de Manaus
1302108;Demais Municípios do Amazonas
1302207;Demais Municípios do Amazonas
1302306;Demais Municípios do Amazonas
1302405;Demais Municípios do Amazonas
1302504;RM de Manaus
1302553;RM de Manaus
1302603;RM de Manaus
1302702;Demais Municípios do Amazonas
1302801;Demais Municípios do Amazonas
1302900;Demais Municípios do Amazonas
1303007;Demais Municípios do Amazonas
1303106;Demais Municípios do Amazonas
1303205;RM de Manaus
1303304;Demais Municípios do Amazonas
1303403;Demais Municípios do Amazonas
1303502;Demais Municípios do Amazonas
1303536;RM de Manaus
1303569;RM de Manaus
1303601;Demais Municípios do Amazonas
1303700;Demais Municípios do Amazonas
1303809;Demais Municípios do Amazonas
1303908;Demais Municípios do Amazonas
1303957;Demais Municípios do Amazonas
1304005;RM de Manaus
1304062;Demais Municípios do Amazonas
1304104;Demais Municípios do Amazonas
1304203;Demais Municípios do Amazonas
1304237;Demais Municípios do Amazonas
1304260;Demais Municípios do Amazonas
1304302;Demais Municípios do Amazonas
1304401;Demais Municípios do Amazonas
1400027;Demais Municípios de Roraima
1400050;RM da Capital
1400100;RM da Capital
1400159;RM da Capital
1400175;RM da Capital
1400209;RM de Central
1400233;RM do Sul do Estado
1400282;RM de Central
1400308;RM da Capital
1400407;Demais Municípios de Roraima
1400456;Demais Municípios de Roraima
1400472;RM do Sul do Estado
1400506;RM do Sul do Estado
1400605;RM do Sul do Estado
1400704;Demais Municípios de Roraima
1500107;Demais Municípios do Pará
1500131;Demais Municípios do Pará
1500206;Demais Municípios do Pará
1500305;Demais Municípios do Pará
1500347;Demais Municípios do Pará
1500404;Demais Municípios do Pará
1500503;Demais Municípios do Pará
1500602;Demais Municípios do Pará
1500701;Demais Municípios do Pará
1500800;RM de Belém
1500859;Demais Municípios do Pará
1500909;Demais Municípios do Pará
1500958;Demais Municípios do Pará
1501006;Demais Municípios do Pará
1501105;Demais Municípios do Pará
1501204;Demais Municípios do Pará
1501253;Demais Municípios do Pará
1501303;Demais Municípios do Pará
1501402;RM de Belém
1501451;RM de Santarém
1501501;RM de Belém
1501576;Demais Municípios do Pará
1501600;Demais Municípios do Pará
1501709;Demais Municípios do Pará
1501725;Demais Municípios do Pará
1501758;Demais Municípios do Pará
1501782;Demais Municípios do Pará
1501808;Demais Municípios do Pará
1501907;Demais Municípios do Pará
1501956;Demais Municípios do Pará
1502004;Demais Municípios do Pará
1502103;Demais Municípios do Pará
1502152;Demais Municípios do Pará
1502202;Demais Municípios do Pará
1502301;Demais Municípios do Pará
1502400;RM de Belém
1502509;Demais Municípios do Pará
1502608;Demais Municípios do Pará
1502707;Demais Municípios do Pará
1502756;Demais Municípios do Pará
1502764;Demais Municípios do Pará
1502772;Demais Municípios do Pará
1502806;Demais Municípios do Pará
1502855;Demais Municípios do Pará
1502905;Demais Municípios do Pará
1502939;Demais Municípios do Pará
1502954;Demais Municípios do Pará
1503002;Demais Municípios do Pará
1503044;Demais Municípios do Pará
1503077;Demais Municípios do Pará
1503093;Demais Municípios do Pará
1503101;Demais Municípios do Pará
1503200;Demais Municípios do Pará
1503309;Demais Municípios do Pará
1503408;Demais Municípios do Pará
1503457;Demais Municípios do Pará
1503507;Demais Municípios do Pará
1503606;Demais Municípios do Pará
1503705;Demais Municípios do Pará
1503754;Demais Municípios do Pará
1503804;Demais Municípios do Pará
1503903;Demais Municípios do Pará
1504000;Demais Municípios do Pará
1504059;Demais Municípios do Pará
1504109;Demais Municípios do Pará
1504208;Demais Municípios do Pará
1504307;Demais Municípios do Pará
1504406;Demais Municípios do Pará
1504422;RM de Belém
1504455;Demais Municípios do Pará
1504505;Demais Municípios do Pará
1504604;Demais Municípios do Pará
1504703;Demais Municípios do Pará
1504752;RM de Santarém
1504802;Demais Municípios do Pará
1504901;Demais Municípios do Pará
1504950;Demais Municípios do Pará
1504976;Demais Municípios do Pará
1505007;Demais Municípios do Pará
1505031;Demais Municípios do Pará
1505064;Demais Municípios do Pará
1505106;Demais Municípios do Pará
1505205;Demais Municípios do Pará
1505304;Demais Municípios do Pará
1505403;Demais Municípios do Pará
1505437;Demais Municípios do Pará
1505486;Demais Municípios do Pará
1505494;Demais Municípios do Pará
1505502;Demais Municípios do Pará
1505536;Demais Municípios do Pará
1505551;Demais Municípios do Pará
1505601;Demais Municípios do Pará
1505635;Demais Municípios do Pará
1505650;Demais Municípios do Pará
1505700;Demais Municípios do Pará
1505809;Demais Municípios do Pará
1505908;Demais Municípios do Pará
1506005;Demais Municípios do Pará
1506104;Demais Municípios do Pará
1506112;Demais Municípios do Pará
1506138;Demais Municípios do Pará
1506161;Demais Municípios do Pará
1506187;Demais Municípios do Pará
1506195;Demais Municípios do Pará
1506203;Demais Municípios do Pará
1506302;Demais Municípios do Pará
1506351;RM de Belém
1506401;Demais Municípios do Pará
1506500;RM de Belém
1506559;Demais Municípios do Pará
1506583;Demais Municípios do Pará
1506609;Demais Municípios do Pará
1506708;Demais Municípios do Pará
1506807;RM de Santarém
1506906;Demais Municípios do Pará
1507003;Demais Municípios do Pará
1507102;Demais Municípios do Pará
1507151;Demais Municípios do Pará
1507201;Demais Municípios do Pará
1507300;Demais Municípios do Pará
1507409;Demais Municípios do Pará
1507458;Demais Municípios do Pará
1507466;Demais Municípios do Pará
1507474;Demais Municípios do Pará
1507508;Demais Municípios do Pará
1507607;Demais Municípios do Pará
1507706;Demais Municípios do Pará
1507755;Demais Municípios do Pará
1507805;Demais Municípios do Pará
1507904;Demais Municípios do Pará
1507953;Demais Municípios do Pará
1507961;Demais Municípios do Pará
1507979;Demais Municípios do Pará
1508001;Demais Municípios do Pará
1508035;Demais Municípios do Pará
1508050;Demais Municípios do Pará
1508084;Demais Municípios do Pará
1508100;Demais Municípios do Pará
1508126;Demais Municípios do Pará
1508159;Demais Municípios do Pará
1508209;Demais Municípios do Pará
1508308;Demais Municípios do Pará
1508357;Demais Municípios do Pará
1508407;Demais Municípios do Pará
1600055;Demais Municípios do Amapá
1600105;Demais Municípios do Amapá
1600154;Demais Municípios do Amapá
1600204;Demais Municípios do Amapá
1600212;Demais Municípios do Amapá
